Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxC,32,128,884,8
matrizFxT,32,128,853,8
mmPosix,32,128,1164,8
matrizFxC,32,256,2710,8
matrizFxT,32,256,2349,8
mmPosix,32,256,2813,8
matrizFxC,32,512,25189,8
matrizFxT,32,512,14244,8
mmPosix,32,512,24279,8
matrizFxC,32,1024,222913,8
matrizFxT,32,1024,103066,8
mmPosix,32,1024,276560,8
matrizFxC,1,64,570,9
matrizFxT,1,64,570,9
mmPosix,1,64,1174,9
matrizFxC,1,128,4079,9
matrizFxT,1,128,3887,9
mmPosix,1,128,5393,9
matrizFxC,1,256,32953,9
matrizFxT,1,256,33193,9
mmPosix,1,256,38579,9
matrizFxC,1,512,422046,9
matrizFxT,1,512,272454,9
mmPosix,1,512,436191,9
matrizFxC,1,1024,5295295,9
matrizFxT,1,1024,2216587,9
mmPosix,1,1024,5573858,9
matrizFxC,2,64,558,9
matrizFxT,2,64,328,9
mmPosix,2,64,949,9
matrizFxC,2,128,2321,9
matrizFxT,2,128,2145,9
mmPosix,2,128,2863,9
matrizFxC,2,256,17393,9
matrizFxT,2,256,17675,9
mmPosix,2,256,19460,9
matrizFxC,2,512,202136,9
matrizFxT,2,512,137884,9
mmPosix,2,512,207915,9
matrizFxC,2,1024,2737693,9
matrizFxT,2,1024,1127006,9
mmPosix,2,1024,2776158,9
matrizFxC,4,64,451,9
matrizFxT,4,64,450,9
mmPosix,4,64,1220,9
matrizFxC,4,128,1481,9
matrizFxT,4,128,1172,9
mmPosix,4,128,1735,9
matrizFxC,4,256,8857,9
matrizFxT,4,256,8872,9
mmPosix,4,256,10969,9
matrizFxC,4,512,103613,9
matrizFxT,4,512,71179,9
mmPosix,4,512,106354,9
matrizFxC,4,1024,1387717,9
matrizFxT,4,1024,579489,9
mmPosix,4,1024,1314609,9
matrizFxC,8,64,423,9
matrizFxT,8,64,517,9
mmPosix,8,64,836,9
matrizFxC,8,128,944,9
matrizFxT,8,128,947,9
mmPosix,8,128,1163,9
matrizFxC,8,256,4897,9
matrizFxT,8,256,4834,9
mmPosix,8,256,5463,9
matrizFxC,8,512,50592,9
matrizFxT,8,512,38169,9
mmPosix,8,512,53174,9
matrizFxC,8,1024,694586,9
matrizFxT,8,1024,301594,9
mmPosix,8,1024,707875,9
matrizFxC,16,64,497,9
matrizFxT,16,64,559,9
mmPosix,16,64,662,9
matrizFxC,16,128,632,9
matrizFxT,16,128,608,9
mmPosix,16,128,784,9
matrizFxC,16,256,2666,9
matrizFxT,16,256,2785,9
mmPosix,16,256,3080,9
matrizFxC,16,512,26840,9
matrizFxT,16,512,19522,9
mmPosix,16,512,27603,9
matrizFxC,16,1024,359440,9
matrizFxT,16,1024,167379,9
mmPosix,16,1024,349736,9
matrizFxC,32,64,670,9
matrizFxT,32,64,616,9
mmPosix,32,64,1025,9
matrizFxC,32,128,891,9
matrizFxT,32,128,860,9
mmPosix,32,128,1234,9
matrizFxC,32,256,2736,9
matrizFxT,32,256,2360,9
mmPosix,32,256,2817,9
matrizFxC,32,512,24661,9
matrizFxT,32,512,13644,9
mmPosix,32,512,23706,9
matrizFxC,32,1024,216820,9
matrizFxT,32,1024,102933,9
mmPosix,32,1024,283730,9
matrizFxC,1,64,567,10
matrizFxT,1,64,567,10
mmPosix,1,64,1101,10
matrizFxC,1,128,4145,10
matrizFxT,1,128,3806,10
mmPosix,1,128,5080,10
matrizFxC,1,256,32564,10
matrizFxT,1,256,32769,10
mmPosix,1,256,38301,10
matrizFxC,1,512,404396,10
matrizFxT,1,512,272654,10
mmPosix,1,512,411246,10
matrizFxC,1,1024,5255556,10
matrizFxT,1,1024,2230092,10
mmPosix,1,1024,5548895,10
matrizFxC,2,64,473,10
matrizFxT,2,64,506,10
mmPosix,2,64,585,10
matrizFxC,2,128,2390,10
matrizFxT,2,128,2182,10
mmPosix,2,128,2875,10
matrizFxC,2,256,17159,10
matrizFxT,2,256,16873,10
mmPosix,2,256,19787,10
matrizFxC,2,512,218643,10
matrizFxT,2,512,137998,10
mmPosix,2,512,207728,10
matrizFxC,2,1024,2599548,10
matrizFxT,2,1024,1113522,10
mmPosix,2,1024,2746130,10
matrizFxC,4,64,387,10
matrizFxT,4,64,425,10
mmPosix,4,64,1205,10
matrizFxC,4,128,1405,10
matrizFxT,4,128,1268,10
mmPosix,4,128,2365,10
matrizFxC,4,256,9318,10
matrizFxT,4,256,8844,10
mmPosix,4,256,10471,10
matrizFxC,4,512,97612,10
matrizFxT,4,512,69959,10
mmPosix,4,512,105797,10
matrizFxC,4,1024,1403885,10
matrizFxT,4,1024,588982,10
mmPosix,4,1024,1386926,10
matrizFxC,8,64,440,10
matrizFxT,8,64,360,10
mmPosix,8,64,466,10
matrizFxC,8,128,947,10
matrizFxT,8,128,773,10
mmPosix,8,128,1048,10
matrizFxC,8,256,4900,10
matrizFxT,8,256,4780,10
mmPosix,8,256,5932,10
matrizFxC,8,512,55032,10
matrizFxT,8,512,35972,10
mmPosix,8,512,53664,10
matrizFxC,8,1024,691540,10
matrizFxT,8,1024,299989,10
mmPosix,8,1024,701940,10
matrizFxC,16,64,493,10
matrizFxT,16,64,447,10
mmPosix,16,64,683,10
matrizFxC,16,128,683,10
matrizFxT,16,128,775,10
mmPosix,16,128,902,10
matrizFxC,16,256,2731,10
